template,instance,input,output
11,2,당일(2021년 5월 13일) 전지점 일단위 최고온도 13개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20210513'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 13

ORDER BY TNRW
;"
11,3,당일(2020년 4월 18일) 전지점 일단위 최고온도 50개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20200418'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 50

ORDER BY TNRW
;"
11,4,당일(2013년 8월 3일) 전지점 일단위 최고온도 20개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20130803'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 20

ORDER BY TNRW
;"
12,1,당일(20210213) 전지점 일단위 최저온도 3개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20210213'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 3

ORDER BY TNRW
;"
12,2,당일(2013년 6월 17일) 전지점 일단위 최저온도 20개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20130617'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 20

ORDER BY TNRW
;"
12,3,당일(2010년 11월13일) 전지점 일단위 최저온도 30개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20101113'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 30

ORDER BY TNRW
;"
12,4,당일(2015년 4월 14일) 전지점 일단위 최저온도 10개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20150414'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 10

ORDER BY TNRW
;"
13,1,당일(20210809) 서울 일단위 최고온도 1개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO='서울'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20210809'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 1

ORDER BY TNRW
;"
13,2,"당일('20210911') 부산, 서귀포 일단위 최고온도 2개","SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO IN ('부산', '서귀포')
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD')= '20210911'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 2

ORDER BY TNRW
;"
13,3,당일(20210809) 서울 일단위 최고온도 1개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO='서울'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20210809'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 1

ORDER BY TNRW
;"
13,4,당일('20160314') 대전 일단위 최고온도 20개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO = '대전'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD')= '20160314'
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= 20

ORDER BY TNRW
;"
14,1,당일(20130617) 대전 일단위 최저온도 8개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO = '대전'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20130617'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 8

ORDER BY TNRW
;"
14,2,"당일(20130615) 포항, 대구, 울산, 여수 완도 일단위 최저온도 4개","SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO IN ('포항','대구','울산','여수','완도')
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20130615'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 4

ORDER BY TNRW
;"
14,3,당일(20201224) 서울 일단위 최저온도 80개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO = '서울'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20201224'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 80

ORDER BY TNRW
;"
14,4,당일(20120624) 부산 일단위 최저온도 50개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO = '부산'
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = '20120624'
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= 50

ORDER BY TNRW
;"
